V1,V2,V3,V4,V5,V6,V7,V8
"sn84024441","The evening times.","Washington Times Co.","Washington, D.C.","District of Columbia--Washington","1895","1902","http://chroniclingamerica.loc.gov/lccn/sn84024441.json"
"sn84024442","The morning times.","Washington Times Co.","Washington, D.C.","District of Columbia--Washington","1895","1897","http://chroniclingamerica.loc.gov/lccn/sn84024442.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn85054468","The times.","W.S. Hutchins","Washington [D.C.]","District of Columbia--Washington","1897","1901","http://chroniclingamerica.loc.gov/lccn/sn85054468.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn87062244","The Washington times.","Washington Times Pub. Co.","Washington, D.C.","District of Columbia--Washington","1894","1895","http://chroniclingamerica.loc.gov/lccn/sn87062244.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn87062245","The Washington times.","Times Co.","Washington [D.C.]","District of Columbia--Washington","1901","1902","http://chroniclingamerica.loc.gov/lccn/sn87062245.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn83045433","The Washington herald.","Washington Herald Co.","Washington, D.C.","District of Columbia--Washington","1906","1939","http://chroniclingamerica.loc.gov/lccn/sn83045433.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn83045433","The Washington herald.","Washington Herald Co.","Washington, D.C.","District of Columbia--Washington","1906","1939","http://chroniclingamerica.loc.gov/lccn/sn83045433.json"
"sn86053571","The national Republican.","W.J. Murtagh & Co.","Washington City [D.C.]","District of Columbia--Washington","1866","1870","http://chroniclingamerica.loc.gov/lccn/sn86053571.json"
"sn83045433","The Washington herald.","Washington Herald Co.","Washington, D.C.","District of Columbia--Washington","1906","1939","http://chroniclingamerica.loc.gov/lccn/sn83045433.json"
"sn86053573","National Republican.","W.J. Murtagh","Washington City (D.C.)","District of Columbia--Washington","1872","1888","http://chroniclingamerica.loc.gov/lccn/sn86053573.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn82016351","The Sunday globe.","[Sunday Globe Pub. Co.]","Washington, D.C.","District of Columbia--Washington","1901","1901","http://chroniclingamerica.loc.gov/lccn/sn82016351.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn82016352","Sunday morning globe.","[s.n.]","Washington, D.C.","District of Columbia--Washington","1901","1901","http://chroniclingamerica.loc.gov/lccn/sn82016352.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn82016353","Sunday Washington globe.","[s.n.]","Washington, D.C.","District of Columbia--Washington","1901","????","http://chroniclingamerica.loc.gov/lccn/sn82016353.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn82016354","Washington sentinel.","L. Schade","Washington City [D.C.]","District of Columbia--Washington","1873","1910","http://chroniclingamerica.loc.gov/lccn/sn82016354.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn84024441","The evening times.","Washington Times Co.","Washington, D.C.","District of Columbia--Washington","1895","1902","http://chroniclingamerica.loc.gov/lccn/sn84024441.json"
"sn82016357","The suburban citizen.","Suburban Citizen Newspaper Co.","Washington, D.C.","District of Columbia--Washington","1891","1902","http://chroniclingamerica.loc.gov/lccn/sn82016357.json"
"sn84024441","The evening times.","Washington Times Co.","Washington, D.C.","District of Columbia--Washington","1895","1902","http://chroniclingamerica.loc.gov/lccn/sn84024441.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn83027091","The colored American.","Colored American Pub. Co.","Washington, D.C.","District of Columbia--Washington","1893","19??","http://chroniclingamerica.loc.gov/lccn/sn83027091.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn87062234","The Washington weekly post.","Stilson Hutchings","Washington, D.C.","District of Columbia--Washington","1878","1916","http://chroniclingamerica.loc.gov/lccn/sn87062234.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn84031490","Chicago daily tribune. [volume]","Chicago Tribune","Chicago, Ill.","Illinois--Cook--Chicago","1860","1864","http://chroniclingamerica.loc.gov/lccn/sn84031490.json"
"sn83020866","Cherokee phoenix. [volume]","Isaac H. Harris","New Echota [Ga.]","Georgia--Gordon--Echota","1828","1829","http://chroniclingamerica.loc.gov/lccn/sn83020866.json"
"sn83020866","Cherokee phoenix. [volume]","Isaac H. Harris","New Echota [Ga.]","Georgia--Gordon--Echota","1828","1829","http://chroniclingamerica.loc.gov/lccn/sn83020866.json"
"sn83030213","New-York daily tribune.","Greeley & McElrath","New-York [N.Y.]","New York--New York--New York","1842","1866","http://chroniclingamerica.loc.gov/lccn/sn83030213.json"
"sn83020874","Cherokee phoenix, and Indians' advocate. [volume]","Cherokee Nation","New Echota [Ga.]","Georgia--Gordon--Echota","1829","1834","http://chroniclingamerica.loc.gov/lccn/sn83020874.json"
"sn83020874","Cherokee phoenix, and Indians' advocate. [volume]","Cherokee Nation","New Echota [Ga.]","Georgia--Gordon--Echota","1829","1834","http://chroniclingamerica.loc.gov/lccn/sn83020874.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn82003410","The daily union.","Thomas Ritchie & John P. Heiss","Washington [D.C.]","District of Columbia--Washington","1845","1857","http://chroniclingamerica.loc.gov/lccn/sn82003410.json"
"sn82014763","The southern press.","Elwood Fisher and Edwin De Leon]","Washington City [i.e. Washington, D.C.","District of Columbia--Washington","1850","1852","http://chroniclingamerica.loc.gov/lccn/sn82014763.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn82014764","The southern press.","Ellwood Fisher and Edwin de Leon]","Washington [D.C.","District of Columbia--Washington","1850","1852","http://chroniclingamerica.loc.gov/lccn/sn82014764.json"
"sn82014159","The hatchet.","The Hatchet Pub. Co.","Washington, D.C.","District of Columbia--Washington","1883","19??","http://chroniclingamerica.loc.gov/lccn/sn82014159.json"
"sn84026752","The national era.","L.P. Noble","Washington [D.C.]","District of Columbia--Washington","1847","1860","http://chroniclingamerica.loc.gov/lccn/sn84026752.json"
"sn82014159","The hatchet.","The Hatchet Pub. Co.","Washington, D.C.","District of Columbia--Washington","1883","19??","http://chroniclingamerica.loc.gov/lccn/sn82014159.json"
"sn83045433","The Washington herald.","Washington Herald Co.","Washington, D.C.","District of Columbia--Washington","1906","1939","http://chroniclingamerica.loc.gov/lccn/sn83045433.json"
"sn82016441","The weekly news.","Weekly News Pub. Co.","Anacostia [i.e. Washington] D.C.","District of Columbia--Washington","1909","19??","http://chroniclingamerica.loc.gov/lccn/sn82016441.json"
"sn82016441","The weekly news.","Weekly News Pub. Co.","Anacostia [i.e. Washington] D.C.","District of Columbia--Washington","1909","19??","http://chroniclingamerica.loc.gov/lccn/sn82016441.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn83030313","The New York herald.","James Gordon Bennett","New York [N.Y.]","New York--New York--New York","1840","1920","http://chroniclingamerica.loc.gov/lccn/sn83030313.json"
"sn83045774","The New York herald.","Sun-Herald","New York, N.Y.","New York--New York--New York","1920","1924","http://chroniclingamerica.loc.gov/lccn/sn83045774.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn83045433","The Washington herald.","Washington Herald Co.","Washington, D.C.","District of Columbia--Washington","1906","1939","http://chroniclingamerica.loc.gov/lccn/sn83045433.json"
"sn83045433","The Washington herald.","Washington Herald Co.","Washington, D.C.","District of Columbia--Washington","1906","1939","http://chroniclingamerica.loc.gov/lccn/sn83045433.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn83045242","The national intelligencer and Washington advertiser.","Samuel Harrison Smith","Washington City [D.C.]","District of Columbia--Washington","1800","1810","http://chroniclingamerica.loc.gov/lccn/sn83045242.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn83030313","The New York herald.","James Gordon Bennett","New York [N.Y.]","New York--New York--New York","1840","1920","http://chroniclingamerica.loc.gov/lccn/sn83030313.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn83030213","New-York daily tribune.","Greeley & McElrath","New-York [N.Y.]","New York--New York--New York","1842","1866","http://chroniclingamerica.loc.gov/lccn/sn83030213.json"
"sn83030213","New-York daily tribune.","Greeley & McElrath","New-York [N.Y.]","New York--New York--New York","1842","1866","http://chroniclingamerica.loc.gov/lccn/sn83030213.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn82006534","The Washington union.","W.A. Harris","City of Washington [D.C.]","District of Columbia--Washington","1857","1859","http://chroniclingamerica.loc.gov/lccn/sn82006534.json"
"sn83030362","Sunday dispatch.","Amor J. Williamson, W. Burns & Watson","New York [N.Y.]","New York--New York--New York","1845","1854","http://chroniclingamerica.loc.gov/lccn/sn83030362.json"
"sn83030362","Sunday dispatch.","Amor J. Williamson, W. Burns & Watson","New York [N.Y.]","New York--New York--New York","1845","1854","http://chroniclingamerica.loc.gov/lccn/sn83030362.json"
"sn82014835","Washington sentinel.","Beverley Tucker","City of Washington [D.C.]","District of Columbia--Washington","1853","1856","http://chroniclingamerica.loc.gov/lccn/sn82014835.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn82016312","The Washingtonian.","G. Cochran & Co.","Washington, D.C.","District of Columbia--Washington","1845","1845","http://chroniclingamerica.loc.gov/lccn/sn82016312.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn82016317","The Whig standard.","John T. Towers","Washington, D.C.","District of Columbia--Washington","1843","1844","http://chroniclingamerica.loc.gov/lccn/sn82016317.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn83045784","Weekly national intelligencer.","Gales & Seaton","Washington [D.C.]","District of Columbia--Washington","1841","1869","http://chroniclingamerica.loc.gov/lccn/sn83045784.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn84020104","Washington sentinel.","B. Tucker","Washington [D.C.]","District of Columbia--Washington","1853","1855","http://chroniclingamerica.loc.gov/lccn/sn84020104.json"
"sn86053546","Daily national era.","G. Bailey","Washington, D.C.","District of Columbia--Washington","1854","1854","http://chroniclingamerica.loc.gov/lccn/sn86053546.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn86053569","The native American.","J. Elliot Jr.","Washington City [i.e. Washington, D.C.]","District of Columbia--Washington","1837","1840","http://chroniclingamerica.loc.gov/lccn/sn86053569.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn83030213","New-York daily tribune.","Greeley & McElrath","New-York [N.Y.]","New York--New York--New York","1842","1866","http://chroniclingamerica.loc.gov/lccn/sn83030213.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn84027621","The Ocala evening star.","Porter & Harding","Ocala, Fla.","Florida--Marion--Ocala","1895","1943","http://chroniclingamerica.loc.gov/lccn/sn84027621.json"
"sn84027621","The Ocala evening star.","Porter & Harding","Ocala, Fla.","Florida--Marion--Ocala","1895","1943","http://chroniclingamerica.loc.gov/lccn/sn84027621.json"
"sn83045462","Evening star. [volume]","W.D. Wallach & Hope","Washington, D.C.","District of Columbia--Washington","1854","1972","http://chroniclingamerica.loc.gov/lccn/sn83045462.json"
"sn83045242","The national intelligencer and Washington advertiser.","Samuel Harrison Smith","Washington City [D.C.]","District of Columbia--Washington","1800","1810","http://chroniclingamerica.loc.gov/lccn/sn83045242.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn87062268","The Pensacola journal.","Mayes & Co.","Pensacola, Fla.","Florida--Escambia--Pensacola","1898","1985","http://chroniclingamerica.loc.gov/lccn/sn87062268.json"
"sn87062268","The Pensacola journal.","Mayes & Co.","Pensacola, Fla.","Florida--Escambia--Pensacola","1898","1985","http://chroniclingamerica.loc.gov/lccn/sn87062268.json"
"sn83027091","The colored American.","Colored American Pub. Co.","Washington, D.C.","District of Columbia--Washington","1893","19??","http://chroniclingamerica.loc.gov/lccn/sn83027091.json"
"sn84025891","The Washington bee. [volume]","Bee Pub. Co.","Washington, D.C.","District of Columbia--Washington","1884","1922","http://chroniclingamerica.loc.gov/lccn/sn84025891.json"
"sn82014424","The Evening critic.","Evening Critic Pub. Co.","Washington, D.C.","District of Columbia--Washington","1881","1885","http://chroniclingamerica.loc.gov/lccn/sn82014424.json"
"sn82016187","The National tribune.","G.E. Lemon & Co.","Washington, D.C.","District of Columbia--Washington","1877","1917","http://chroniclingamerica.loc.gov/lccn/sn82016187.json"
"sn84024441","The evening times.","Washington Times Co.","Washington, D.C.","District of Columbia--Washington","1895","1902","http://chroniclingamerica.loc.gov/lccn/sn84024441.json"
"sn84027621","The Ocala evening star.","Porter & Harding","Ocala, Fla.","Florida--Marion--Ocala","1895","1943","http://chroniclingamerica.loc.gov/lccn/sn84027621.json"
"sn84027621","The Ocala evening star.","Porter & Harding","Ocala, Fla.","Florida--Marion--Ocala","1895","1943","http://chroniclingamerica.loc.gov/lccn/sn84027621.json"
"sn84024442","The morning times.","Washington Times Co.","Washington, D.C.","District of Columbia--Washington","1895","1897","http://chroniclingamerica.loc.gov/lccn/sn84024442.json"
"sn87062268","The Pensacola journal.","Mayes & Co.","Pensacola, Fla.","Florida--Escambia--Pensacola","1898","1985","http://chroniclingamerica.loc.gov/lccn/sn87062268.json"
"sn85054468","The times.","W.S. Hutchins","Washington [D.C.]","District of Columbia--Washington","1897","1901","http://chroniclingamerica.loc.gov/lccn/sn85054468.json"
"sn83045433","The Washington herald.","Washington Herald Co.","Washington, D.C.","District of Columbia--Washington","1906","1939","http://chroniclingamerica.loc.gov/lccn/sn83045433.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn87062268","The Pensacola journal.","Mayes & Co.","Pensacola, Fla.","Florida--Escambia--Pensacola","1898","1985","http://chroniclingamerica.loc.gov/lccn/sn87062268.json"
"sn87062268","The Pensacola journal.","Mayes & Co.","Pensacola, Fla.","Florida--Escambia--Pensacola","1898","1985","http://chroniclingamerica.loc.gov/lccn/sn87062268.json"
"sn83045433","The Washington herald.","Washington Herald Co.","Washington, D.C.","District of Columbia--Washington","1906","1939","http://chroniclingamerica.loc.gov/lccn/sn83045433.json"
"sn87062268","The Pensacola journal.","Mayes & Co.","Pensacola, Fla.","Florida--Escambia--Pensacola","1898","1985","http://chroniclingamerica.loc.gov/lccn/sn87062268.json"
"sn95047179","The enterprise-recorder.","[s.n.]","Madison, Fla.","Florida--Madison--Madison","1908","1933","http://chroniclingamerica.loc.gov/lccn/sn95047179.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn95047179","The enterprise-recorder.","[s.n.]","Madison, Fla.","Florida--Madison--Madison","1908","1933","http://chroniclingamerica.loc.gov/lccn/sn95047179.json"
"sn84027621","The Ocala evening star.","Porter & Harding","Ocala, Fla.","Florida--Marion--Ocala","1895","1943","http://chroniclingamerica.loc.gov/lccn/sn84027621.json"
"sn86053571","The national Republican.","W.J. Murtagh & Co.","Washington City [D.C.]","District of Columbia--Washington","1866","1870","http://chroniclingamerica.loc.gov/lccn/sn86053571.json"
"sn84027621","The Ocala evening star.","Porter & Harding","Ocala, Fla.","Florida--Marion--Ocala","1895","1943","http://chroniclingamerica.loc.gov/lccn/sn84027621.json"
"sn84031492","Chicago daily tribune.","Tribune Co.","Chicago, Ill.","Illinois--Cook--Chicago","1872","1963","http://chroniclingamerica.loc.gov/lccn/sn84031492.json"
"sn89070049","The Palatka daily news.","Speer & Harrison","Palatka, Fla.","Florida--Putnam--Palatka","1884","1888","http://chroniclingamerica.loc.gov/lccn/sn89070049.json"
"sn89070049","The Palatka daily news.","Speer & Harrison","Palatka, Fla.","Florida--Putnam--Palatka","1884","1888","http://chroniclingamerica.loc.gov/lccn/sn89070049.json"
"sn95047298","The Palatka news.","Russell & Vickers","Palatka, Fla.","Florida--Putnam--Palatka","1905","1908","http://chroniclingamerica.loc.gov/lccn/sn95047298.json"
"sn83030214","New-York tribune.","New York Tribune","New York [N.Y.]","New York--New York--New York","1866","1924","http://chroniclingamerica.loc.gov/lccn/sn83030214.json"
"sn95047298","The Palatka news.","Russell & Vickers","Palatka, Fla.","Florida--Putnam--Palatka","1905","1908","http://chroniclingamerica.loc.gov/lccn/sn95047298.json"
"sn83025887","National gazette.","P. Freneau","Philadelphia [Pa.]","Pennsylvania--Philadelphia--Philadelphia","1791","1793","http://chroniclingamerica.loc.gov/lccn/sn83025887.json"
"sn95047324","The Punta Gorda herald.","A.P. Jordan","Punta Gorda, Fla.","Florida--Charlotte--Punta Gorda","1893","1958","http://chroniclingamerica.loc.gov/lccn/sn95047324.json"
"sn95047324","The Punta Gorda herald.","A.P. Jordan","Punta Gorda, Fla.","Florida--Charlotte--Punta Gorda","1893","1958","http://chroniclingamerica.loc.gov/lccn/sn95047324.json"
"sn84026749","The Washington times.","Times Pub. Co.","Washington [D.C.]","District of Columbia--Washington","1902","1939","http://chroniclingamerica.loc.gov/lccn/sn84026749.json"
"sn93063916","The Daytona daily news.","Geo. F. Crouch","Daytona, Fla.","Florida--Volusia--Daytona Beach","1903","1926","http://chroniclingamerica.loc.gov/lccn/sn93063916.json"
"sn82003399","The national whig.","C.W. Fenton","Washington, D.C.","District of Columbia--Washington","1847","1847","http://chroniclingamerica.loc.gov/lccn/sn82003399.json"
"sn93063916","The Daytona daily news.","Geo. F. Crouch","Daytona, Fla.","Florida--Volusia--Daytona Beach","1903","1926","http://chroniclingamerica.loc.gov/lccn/sn93063916.json"
"sn82006534","The Washington union.","W.A. Harris","City of Washington [D.C.]","District of Columbia--Washington","1857","1859","http://chroniclingamerica.loc.gov/lccn/sn82006534.json"
"sn88074815","The Ocala banner.","Banner Pub. Co.","Ocala, Marion County, Fla.","Florida--Marion--Ocala","1883","194?","http://chroniclingamerica.loc.gov/lccn/sn88074815.json"
"sn88074815","The Ocala banner.","Banner Pub. Co.","Ocala, Marion County, Fla.","Florida--Marion--Ocala","1883","194?","http://chroniclingamerica.loc.gov/lccn/sn88074815.json"
"sn82014015","The American.","C.W. Fenton","Washington [D.C.]","District of Columbia--Washington","1857","1857","http://chroniclingamerica.loc.gov/lccn/sn82014015.json"
"sn82014434","The republic. [volume]","Gideon & Co.","Washington [D.C.]","District of Columbia--Washington","1849","1853","http://chroniclingamerica.loc.gov/lccn/sn82014434.json"
"sn93059208","The Daytona gazette=news.","Edward Fitzgerald","Daytona, Fla.","Florida--Volusia--Daytona|Florida--Volusia--Ormond","1901","1922","http://chroniclingamerica.loc.gov/lccn/sn93059208.json"
"sn93059208","The Daytona gazette=news.","Edward Fitzgerald","Daytona, Fla.","Florida--Volusia--Daytona|Florida--Volusia--Ormond","1901","1922","http://chroniclingamerica.loc.gov/lccn/sn93059208.json"
"sn82014763","The southern press.","Elwood Fisher and Edwin De Leon]","Washington City [i.e. Washington, D.C.","District of Columbia--Washington","1850","1852","http://chroniclingamerica.loc.gov/lccn/sn82014763.json"
"sn93063916","The Daytona daily news.","Geo. F. Crouch","Daytona, Fla.","Florida--Volusia--Daytona Beach","1903","1926","http://chroniclingamerica.loc.gov/lccn/sn93063916.json"
"sn82014764","The southern press.","Ellwood Fisher and Edwin de Leon]","Washington [D.C.","District of Columbia--Washington","1850","1852","http://chroniclingamerica.loc.gov/lccn/sn82014764.json"
"sn93063916","The Daytona daily news.","Geo. F. Crouch","Daytona, Fla.","Florida--Volusia--Daytona Beach","1903","1926","http://chroniclingamerica.loc.gov/lccn/sn93063916.json"
"sn82015015","The Madisonian.","T. Allen","Washington City [i.e. Washington, D.C.]","District of Columbia--Washington","1837","1845","http://chroniclingamerica.loc.gov/lccn/sn82015015.json"
"sn95026788","Live Oak daily Democrat.","Live Oak Pub. Co.","Live Oak, Fla.","Florida--Suwannee--Live Oak","190?","190?","http://chroniclingamerica.loc.gov/lccn/sn95026788.json"
